Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.930714999999999,6.930714999999999,6.661125,6.706057,5.25622,3033400
2000-01-04,6.6498919999999995,6.739756,6.470165,6.571262,5.150568,3315000
2000-01-05,6.60496,6.638659,6.571262,6.60496,5.17698,4642600
2000-01-06,6.560028999999999,6.616192999999999,6.537563,6.548796,5.132959,3947600
2000-01-07,6.548796,6.560028999999999,6.357836,6.402768,5.0185010000000005,6063600
2000-01-10,6.391535,6.739756,6.3803019999999995,6.661125,5.221003,5531100
2000-01-11,6.60496,6.739756,6.526330000000001,6.616192999999999,5.185784,4224700
2000-01-12,6.6498919999999995,6.739756,6.548796,6.548796,5.132959,9828200
2000-01-13,6.627426,6.818386,6.60496,6.6498919999999995,5.212199,5522800
2000-01-14,6.6498919999999995,6.661125,6.4364669999999995,6.470165,5.071326,3188100
2000-01-18,6.3803019999999995,6.425234,6.223041,6.279205999999999,4.921653,7497400
2000-01-19,6.234274,6.245507,5.9983830000000005,6.043314,4.736758999999999,9733600
2000-01-20,6.009615,6.009615,5.695094,5.717559,4.481433,9039200
2000-01-21,5.717559,5.784957,5.706326,5.728791999999999,4.4902370000000005,7177000
2000-01-24,5.773724,5.818655000000001,5.582764,5.605230000000001,4.393389,5581200
2000-01-25,5.605230000000001,5.605230000000001,5.324407,5.459201999999999,4.278933,7281000
2000-01-26,5.459201999999999,5.492901,5.391805000000001,5.403038,4.2349120000000005,4549100
2000-01-27,5.41427,5.492901,5.391805000000001,5.41427,4.243716,5427600
2000-01-28,5.459201999999999,5.459201999999999,5.167146,5.189612,4.067628,3942600
2000-01-31,5.25701,5.279475,5.122214,5.14468,4.03241,2827000
2000-02-01,5.279475,5.79619,5.279475,5.526599,4.331759,12357000
2000-02-02,5.391805000000001,5.470435,5.06605,5.200844999999999,4.07643,10261100
2000-02-03,5.268242,5.369339,5.234543,5.33564,4.182085,4141800
2000-02-04,5.33564,5.358105999999999,5.268242,5.324407,4.173280999999999,4361000
2000-02-07,5.290708,5.391805000000001,5.212078,5.290708,4.146866,4228000
2000-02-08,5.290708,5.380571,5.279475,5.369339,4.2084980000000005,4354900
2000-02-09,5.313174,5.571530999999999,5.22331,5.391805000000001,4.226107,5385900
2000-02-10,5.391805000000001,5.5153669999999995,4.841391000000001,4.942487,3.873931,18960400
2000-02-11,4.87509,5.099749,4.830158,5.021118,3.9355620000000004,7656600
2000-02-14,5.099749,5.099749,4.942487,5.043584,3.9531730000000005,5138900
2000-02-15,5.009885,5.133447,4.863857,5.099749,3.997193,4789400
2000-02-16,5.077282,5.14468,4.976186,5.021118,3.9355620000000004,1999700
2000-02-17,5.077282,5.380571,4.987419,5.279475,4.138064,5256300
2000-02-18,5.212078,5.212078,5.021118,5.032351,3.9443669999999997,4312600
2000-02-22,5.06605,5.06605,4.717829,4.852624,3.803497,4787800
2000-02-23,4.87509,4.942487,4.818925,4.818925,3.7770839999999994,1764300
2000-02-24,4.773993,4.773993,4.639198,4.672897,3.6626260000000004,4273100
2000-02-25,4.672897,4.706596,4.6279650000000006,4.650431,3.6450160000000005,3476900
2000-02-28,4.661664,4.785226000000001,4.538101999999999,4.616733,3.6186019999999997,3263800
2000-02-29,4.684130000000001,4.852624,4.672897,4.785226000000001,3.7506699999999995,4105100
